Id;Num;type;category;border_venc;venchik;Razmer_X;Razmer_Y;Diametr;visota;Sten1;Sten2;made;cover_procc;cover_color;ornament;fire;нагар
50;Е21-Пу28/779;цветочный горшок;;заостренный; отогнутый;15;15;15;;0.5;0.9;круг;нет;коричневый;желобок;окислительный;0
17;Е21-Пу28/785;цветочный горшок;;округлый; отогнутый;32;32;32;;0.6;1;круг;нет;серо-коричневый;нет;окислительный;0
18;Е21-Пу28/787;горшок;;уплощенный; отогнутый;14;14;14;;0.4;0.9;круг;глазурь;зеленый;нет;окислительный;0
44;Е21-Пу28/789;горшок;;уплощенный; отогнутый;23;23;23;;0.6;.1.5;круг;глазурь;зеленый;желобок;окислительный;0
42;Е21-Пу28/791;кринка;;уплощенный; отогнутый;13.5;13.5;13.5;;0.6;0.8;круг;нет;черый;желобки;восстановительный;0
38;Е21-Пу28/792;корчага;;округлый; отогнутый;21;21;21;;0.8;1.2;круг;нет;серо-коричневый;нет;восстановительный;0
41;Е21-Пу28/793;горшок;;уплощенный; прямой;17;17;17;;0.8;1.2;круг;нет;серый;нет;восстановительный;1
36;Е21-Пу28/794;кринка;;уплощенный; отогнутый;14.5;14.5;14.5;;0.3;0.9;круг;нет;серый;желобки;восстановительный;0
48;Е21-Пу28/805;горшок;;;;н/о;н/о;н/о;;0.1;0.3;круг;глазурь;коричневый;нет;окислительный;0
66;Е21-Пу28/949;горшок;;уплощенный; отогнутый;21.5;21.5;21.5;25;0.8;1;круг;глазурь;зеленый;желобок;окислительный;0
40;Е21-Пу28/950;миска;;волнообразный; отогнутый;24;24;24;9;0.5;0.8;круг;глазурь;коричневый;нет;окислительный;0
24;Е21-Пу28/951;кринка;;уплощенный; отогнутый;13;13;13;18;0.5;1.2;круг;глазурь;зеленый;желобки;окислительный;0
43;Е21-Пу28/952;горшок;;уплощенный; отогнутый;13;13;13;14;0.4;0.8;круг;глазурь;зеленый;желобки и роспись;;1
39;Е21-Пу28/953;кринка;;уплощенный; отогнутый;10;10;10;18;0.4;1;круг;глазурь;коричневый;желобок;окислительный;0
52;Е21-Пу28/954;горшок;;уплощенный; отогнутый;15;15;15;17;0.5;0.7;круг;глазурь;коричневый;желобки;окислительный;0
53;Е21-Пу28/955;плошка;;уплощенный; отогнутый;21;21;21;10.5;0.6;0.8;круг;глазурь;коричневый;желобок;окислительный;1
37;Е21-Пу28/956;горшок;;уплощенный; отогнутый;16;16;16;15.5;0.6;1.5;круг;нет;черный;желобки;восстановительный;0
28;Е21-Пу28/957;умывальник;;уплощенный; отогнутый;16;16;16;;0.6;0.8;круг;глазурь;коричневый. зеленый;желобки;окислительный;0
33;Е21-Пу28/958;цветочный горшок;;заостренный; отогнутый;24;24;24;20;0.3;1.1;круг;глазурь;коричневый;желобок;окислительный;0
26;Е21-Пу28/959;сковорода (латка);;округлый; закрытый;20;32;20х32;10;0.5;1.2;круг;глазурь;зеленый;желобки;восстановительный;1
67;Е21-Пу28/959;корчага;;округлый; отогнутый;26;26;26;35;0.8;1.5;круг;глазурь;зеленый;волны;окислительный;1
65;Е21-Пу28/960;таз;;уплощенный; отогнутый;42.5;42.5;42.5;14;0.5;0.9;круг;глазурь;зеленый;волна;окислительный;0
68;Е21-Пу28/961;жбан;;округлый; отогнутый;23;23;23;31;0.8;1.8;круг;глазурь;коричнево-зеленый;желобки;окислительный;0
